minute,day,flow.category,side,bee/wind orientation,flight direction,fast slow
1,06_07_17',1.19,RITE',DW',FEED',FAST'
1,06_07_17',-1.19,LEFT',UW',FEED',FAST'
1,06_07_17',-1.19,LEFT',UW',FEED',FAST'
1,06_07_17',-1.19,LEFT',DW',NEST',FAST'
1,06_07_17',-1.19,LEFT',UW',FEED',FAST'
2,06_07_17',-1.19,LEFT',UW',FEED',FAST'
2,06_07_17',1.19,RITE',UW',NEST',FAST'
2,06_07_17',1.19,RITE',UW',NEST',FAST'
3,06_07_17',1.19,RITE',UW',NEST',FAST'
3,06_07_17',1.19,RITE',UW',NEST',FAST'
3,06_07_17',-1.19,LEFT',UW',FEED',FAST'
3,06_07_17',1.19,RITE',UW',NEST',FAST'
3,06_07_17',-1.19,LEFT',DW',NEST',FAST'
3,06_07_17',1.19,RITE',DW',FEED',FAST'
3,06_07_17',1.19,RITE',UW',NEST',FAST'
3,06_07_17',-1.19,LEFT',DW',NEST',FAST'
4,06_07_17',1.19,RITE',UW',NEST',FAST'
5,06_07_17',-1.19,LEFT',UW',FEED',FAST'
5,06_07_17',1.19,RITE',DW',FEED',FAST'
5,06_07_17',-1.19,LEFT',UW',FEED',FAST'
5,06_07_17',-1.19,LEFT',UW',FEED',FAST'
5,06_07_17',-1.19,LEFT',DW',NEST',FAST'
6,06_07_17',1.19,RITE',DW',FEED',FAST'
6,06_07_17',-1.19,LEFT',UW',FEED',FAST'
7,06_07_17',1.19,RITE',DW',FEED',FAST'
7,06_07_17',-1.19,LEFT',UW',FEED',FAST'
7,06_07_17',-1.19,LEFT',UW',FEED',FAST'
7,06_07_17',1.19,RITE',DW',FEED',FAST'
8,06_07_17',1.19,RITE',UW',NEST',FAST'
8,06_07_17',1.19,RITE',UW',NEST',FAST'
8,06_07_17',-1.19,LEFT',UW',FEED',FAST'
8,06_07_17',-1.19,LEFT',UW',FEED',FAST'
9,06_07_17',1.19,RITE',UW',NEST',FAST'
9,06_07_17',1.19,RITE',UW',NEST',FAST'
9,06_07_17',-1.19,LEFT',DW',NEST',FAST'
9,06_07_17',-1.19,LEFT',UW',FEED',FAST'
9,06_07_17',-1.19,LEFT',UW',FEED',FAST'
10,06_07_17',-1.19,LEFT',UW',FEED',FAST'
10,06_07_17',-1.19,LEFT',UW',FEED',FAST'
10,06_07_17',1.19,RITE',DW',FEED',FAST'
10,06_07_17',-1.19,LEFT',UW',FEED',FAST'
11,06_07_17',1.19,RITE',UW',NEST',FAST'
11,06_07_17',1.19,RITE',UW',NEST',FAST'
11,06_07_17',-1.19,LEFT',UW',FEED',FAST'
11,06_07_17',1.19,RITE',DW',FEED',FAST'
11,06_07_17',-1.19,LEFT',DW',NEST',FAST'
11,06_07_17',1.19,RITE',UW',NEST',FAST'
12,06_07_17',1.19,RITE',DW',FEED',FAST'
12,06_07_17',1.19,RITE',UW',NEST',FAST'
12,06_07_17',-1.19,LEFT',UW',FEED',FAST'
12,06_07_17',-1.19,LEFT',DW',NEST',FAST'
12,06_07_17',1.19,RITE',UW',NEST',FAST'
13,06_07_17',-1.19,LEFT',UW',FEED',FAST'
13,06_07_17',1.19,RITE',UW',NEST',FAST'
13,06_07_17',1.19,RITE',UW',NEST',FAST'
13,06_07_17',-1.19,LEFT',DW',NEST',FAST'
14,06_07_17',1.19,RITE',DW',FEED',FAST'
14,06_07_17',1.19,RITE',UW',NEST',FAST'
14,06_07_17',1.19,RITE',UW',NEST',FAST'
14,06_07_17',1.19,RITE',UW',NEST',FAST'
14,06_07_17',1.19,RITE',UW',NEST',FAST'
15,06_07_17',1.19,RITE',DW',FEED',FAST'
15,06_07_17',1.19,RITE',UW',NEST',FAST'
15,06_07_17',1.19,RITE',UW',NEST',FAST'
16,06_07_17',-1.19,LEFT',UW',FEED',FAST'
16,06_07_17',-1.19,LEFT',DW',NEST',FAST'
16,06_07_17',-1.19,LEFT',UW',FEED',FAST'
17,06_07_17',1.19,RITE',UW',NEST',FAST'
17,06_07_17',-1.19,LEFT',UW',FEED',FAST'
17,06_07_17',-1.19,LEFT',UW',FEED',FAST'
17,06_07_17',1.19,RITE',DW',FEED',FAST'
17,06_07_17',-1.19,LEFT',DW',NEST',FAST'
17,06_07_17',1.19,RITE',DW',FEED',FAST'
17,06_07_17',-1.19,LEFT',DW',NEST',FAST'
18,06_07_17',1.19,RITE',DW',FEED',FAST'
18,06_07_17',1.19,RITE',UW',NEST',FAST'
18,06_07_17',1.19,RITE',UW',NEST',FAST'
18,06_07_17',1.19,RITE',UW',NEST',FAST'
18,06_07_17',1.19,RITE',UW',NEST',FAST'
18,06_07_17',1.19,RITE',UW',NEST',FAST'
19,06_07_17',-1.19,LEFT',DW',NEST',FAST'
19,06_07_17',-1.19,LEFT',UW',FEED',FAST'
20,06_07_17',1.19,RITE',UW',NEST',FAST'
20,06_07_17',1.19,RITE',UW',NEST',FAST'
21,06_07_17',-1.19,LEFT',UW',FEED',FAST'
21,06_07_17',1.19,RITE',UW',NEST',FAST'
21,06_07_17',1.19,RITE',UW',NEST',FAST'
22,06_07_17',-1.19,LEFT',UW',FEED',FAST'
22,06_07_17',-1.19,LEFT',UW',FEED',FAST'
22,06_07_17',-1.19,LEFT',UW',FEED',FAST'
22,06_07_17',1.19,RITE',UW',NEST',FAST'
23,06_07_17',1.19,RITE',UW',NEST',FAST'
23,06_07_17',1.19,RITE',UW',NEST',FAST'
23,06_07_17',-1.19,LEFT',UW',FEED',FAST'
24,06_07_17',-1.19,LEFT',UW',FEED',FAST'
24,06_07_17',-1.19,LEFT',UW',FEED',FAST'
24,06_07_17',1.19,RITE',DW',FEED',FAST'
25,06_07_17',-1.19,LEFT',DW',NEST',FAST'
25,06_07_17',1.19,RITE',UW',NEST',FAST'
25,06_07_17',1.19,RITE',UW',NEST',FAST'
26,06_07_17',1.19,RITE',UW',NEST',FAST'
26,06_07_17',-1.19,LEFT',UW',FEED',FAST'
26,06_07_17',-1.19,LEFT',UW',FEED',FAST'
26,06_07_17',-1.19,LEFT',UW',FEED',FAST'
27,06_07_17',-1.19,LEFT',DW',NEST',FAST'
28,06_07_17',1.19,RITE',UW',NEST',FAST'
28,06_07_17',1.19,RITE',DW',FEED',FAST'
28,06_07_17',1.19,RITE',UW',NEST',FAST'
29,06_07_17',1.19,RITE',DW',FEED',FAST'
29,06_07_17',1.19,RITE',UW',NEST',FAST'
30,06_07_17',-1.19,LEFT',UW',FEED',FAST'
30,06_07_17',1.19,RITE',UW',NEST',FAST'
30,06_07_17',-1.19,LEFT',DW',NEST',FAST'
30,06_07_17',-1.19,LEFT',DW',NEST',FAST'
31,06_07_17',-1.19,LEFT',UW',FEED',FAST'
31,06_07_17',-1.19,LEFT',UW',FEED',FAST'
31,06_07_17',-1.19,LEFT',DW',NEST',FAST'
31,06_07_17',-1.19,LEFT',UW',FEED',FAST'
32,06_07_17',-1.19,LEFT',UW',FEED',FAST'
32,06_07_17',1.19,RITE',UW',NEST',FAST'
32,06_07_17',1.19,RITE',UW',NEST',FAST'
32,06_07_17',1.19,RITE',UW',NEST',FAST'
32,06_07_17',-1.19,LEFT',DW',NEST',FAST'
33,06_07_17',-1.19,LEFT',UW',FEED',FAST'
33,06_07_17',1.19,RITE',UW',NEST',FAST'
33,06_07_17',1.19,RITE',UW',NEST',FAST'
33,06_07_17',1.19,RITE',UW',NEST',FAST'
33,06_07_17',1.19,RITE',UW',NEST',FAST'
33,06_07_17',1.19,RITE',UW',NEST',FAST'
34,06_07_17',1.19,RITE',UW',NEST',FAST'
34,06_07_17',1.19,RITE',DW',FEED',FAST'
34,06_07_17',1.19,RITE',DW',FEED',FAST'
34,06_07_17',-1.19,LEFT',UW',FEED',FAST'
34,06_07_17',-1.19,LEFT',UW',FEED',FAST'
34,06_07_17',1.19,RITE',DW',FEED',FAST'
34,06_07_17',-1.19,LEFT',UW',FEED',FAST'
34,06_07_17',1.19,RITE',DW',FEED',FAST'
