minute,day,flow.category,side,bee/wind orientation,flight direction,median velocity in px/second (x+y components)
1,06_07_17',1,RITE',DW',FEED',0.3666124362
1,06_07_17',-1,LEFT',UW',FEED',0.3105706284
1,06_07_17',-1,LEFT',UW',FEED',0.7020761806
1,06_07_17',-1,LEFT',DW',NEST',0.5872967792
1,06_07_17',-1,LEFT',UW',FEED',0.4331488846
2,06_07_17',-1,LEFT',UW',FEED',0.6196828351
2,06_07_17',1,RITE',UW',NEST',0.302225532
2,06_07_17',1,RITE',UW',NEST',0.3613057518
3,06_07_17',1,RITE',UW',NEST',0.4547678619
3,06_07_17',1,RITE',UW',NEST',0.7606887192
3,06_07_17',-1,LEFT',UW',FEED',0.693944435
3,06_07_17',1,RITE',UW',NEST',0.3104595204
3,06_07_17',-1,LEFT',DW',NEST',0.6264982043
3,06_07_17',1,RITE',DW',FEED',0.2463491368
3,06_07_17',1,RITE',UW',NEST',0.5460296194
3,06_07_17',-1,LEFT',DW',NEST',0.4788155799
4,06_07_17',1,RITE',UW',NEST',0.5594368818
5,06_07_17',-1,LEFT',UW',FEED',0.3975760317
5,06_07_17',1,RITE',DW',FEED',0.395274855
5,06_07_17',-1,LEFT',UW',FEED',0.5165999119
5,06_07_17',-1,LEFT',UW',FEED',0.5228225212
5,06_07_17',-1,LEFT',DW',NEST',0.6761851682
6,06_07_17',1,RITE',DW',FEED',0.4414998954
6,06_07_17',-1,LEFT',UW',FEED',0.4299468103
7,06_07_17',1,RITE',DW',FEED',0.3964395976
7,06_07_17',-1,LEFT',UW',FEED',0.4262250778
7,06_07_17',-1,LEFT',UW',FEED',0.3121166558
7,06_07_17',1,RITE',DW',FEED',0.2512468905
8,06_07_17',1,RITE',UW',NEST',0.2106592417
8,06_07_17',1,RITE',UW',NEST',0.7392480036
8,06_07_17',-1,LEFT',UW',FEED',0.5474808456
8,06_07_17',-1,LEFT',UW',FEED',0.3837366192
9,06_07_17',1,RITE',UW',NEST',0.341458259
9,06_07_17',1,RITE',UW',NEST',0.6493143358
9,06_07_17',-1,LEFT',DW',NEST',0.4140957504
9,06_07_17',-1,LEFT',UW',FEED',0.4291411422
9,06_07_17',-1,LEFT',UW',FEED',0.2947803298
10,06_07_17',-1,LEFT',UW',FEED',0.2952729611
10,06_07_17',-1,LEFT',UW',FEED',0.391943683
10,06_07_17',1,RITE',DW',FEED',0.8524654886
10,06_07_17',-1,LEFT',UW',FEED',0.770795127
11,06_07_17',1,RITE',UW',NEST',0.3192340858
11,06_07_17',1,RITE',UW',NEST',0.4116972178
11,06_07_17',-1,LEFT',UW',FEED',0.6921151385
11,06_07_17',1,RITE',DW',FEED',0.2217469319
11,06_07_17',-1,LEFT',DW',NEST',0.4474304744
11,06_07_17',1,RITE',UW',NEST',0.4127084919
12,06_07_17',1,RITE',DW',FEED',0.3019279747
12,06_07_17',1,RITE',UW',NEST',0.3440498482
12,06_07_17',-1,LEFT',UW',FEED',0.6033818784
12,06_07_17',-1,LEFT',DW',NEST',0.5232884447
12,06_07_17',1,RITE',UW',NEST',0.5249957041
13,06_07_17',-1,LEFT',UW',FEED',0.4231941214
13,06_07_17',1,RITE',UW',NEST',0.2418306104
13,06_07_17',1,RITE',UW',NEST',0.4248830027
13,06_07_17',-1,LEFT',DW',NEST',0.3318286528
14,06_07_17',1,RITE',DW',FEED',0.8176807469
14,06_07_17',1,RITE',UW',NEST',0.6886259392
14,06_07_17',1,RITE',UW',NEST',0.4001064837
14,06_07_17',1,RITE',UW',NEST',0.2443484281
14,06_07_17',1,RITE',UW',NEST',0.2829320377
15,06_07_17',1,RITE',DW',FEED',0.2091040167
15,06_07_17',1,RITE',UW',NEST',0.2005092331
15,06_07_17',1,RITE',UW',NEST',0.5068485553
16,06_07_17',-1,LEFT',UW',FEED',0.4371563665
16,06_07_17',-1,LEFT',DW',NEST',0.4694135113
16,06_07_17',-1,LEFT',UW',FEED',0.5899328896
17,06_07_17',1,RITE',UW',NEST',0.4685263617
17,06_07_17',-1,LEFT',UW',FEED',0.5028654249
17,06_07_17',-1,LEFT',UW',FEED',0.2023063248
17,06_07_17',1,RITE',DW',FEED',0.7599318886
17,06_07_17',-1,LEFT',DW',NEST',0.4722079753
17,06_07_17',1,RITE',DW',FEED',0.3370316092
17,06_07_17',-1,LEFT',DW',NEST',0.3605492205
18,06_07_17',1,RITE',DW',FEED',0.2372629722
18,06_07_17',1,RITE',UW',NEST',0.4888639534
18,06_07_17',1,RITE',UW',NEST',0.2187362371
18,06_07_17',1,RITE',UW',NEST',0.2138147988
18,06_07_17',1,RITE',UW',NEST',0.6173972382
18,06_07_17',1,RITE',UW',NEST',0.6602679059
19,06_07_17',-1,LEFT',DW',NEST',0.412703687
19,06_07_17',-1,LEFT',UW',FEED',0.8046986745
20,06_07_17',1,RITE',UW',NEST',0.2749128914
20,06_07_17',1,RITE',UW',NEST',0.4980235847
21,06_07_17',-1,LEFT',UW',FEED',0.717808586
21,06_07_17',1,RITE',UW',NEST',0.4439786003
21,06_07_17',1,RITE',UW',NEST',0.6919077149
22,06_07_17',-1,LEFT',UW',FEED',0.4374947952
22,06_07_17',-1,LEFT',UW',FEED',0.5271921463
22,06_07_17',-1,LEFT',UW',FEED',0.7983871625
22,06_07_17',1,RITE',UW',NEST',0.3257871516
23,06_07_17',1,RITE',UW',NEST',0.3587003682
23,06_07_17',1,RITE',UW',NEST',0.5252778376
23,06_07_17',-1,LEFT',UW',FEED',0.5322108565
24,06_07_17',-1,LEFT',UW',FEED',0.4392970846
24,06_07_17',-1,LEFT',UW',FEED',0.6138453457
24,06_07_17',1,RITE',DW',FEED',0.2626804416
25,06_07_17',-1,LEFT',DW',NEST',0.3306055051
25,06_07_17',1,RITE',UW',NEST',0.6501841029
25,06_07_17',1,RITE',UW',NEST',0.4492759994
26,06_07_17',1,RITE',UW',NEST',0.3613101769
26,06_07_17',-1,LEFT',UW',FEED',0.6572743528
26,06_07_17',-1,LEFT',UW',FEED',0.4941075642
26,06_07_17',-1,LEFT',UW',FEED',0.606273394
27,06_07_17',-1,LEFT',DW',NEST',0.463746704
28,06_07_17',1,RITE',UW',NEST',0.3661483206
28,06_07_17',1,RITE',DW',FEED',0.7146409182
28,06_07_17',1,RITE',UW',NEST',0.5677610698
29,06_07_17',1,RITE',DW',FEED',0.3485324416
29,06_07_17',1,RITE',UW',NEST',0.9081839755
30,06_07_17',-1,LEFT',UW',FEED',0.8314858999
30,06_07_17',1,RITE',UW',NEST',0.6496699681
30,06_07_17',-1,LEFT',DW',NEST',0.4663369456
30,06_07_17',-1,LEFT',DW',NEST',0.6280026587
31,06_07_17',-1,LEFT',UW',FEED',0.6345294378
31,06_07_17',-1,LEFT',UW',FEED',0.4981214711
31,06_07_17',-1,LEFT',DW',NEST',0.5831658459
31,06_07_17',-1,LEFT',UW',FEED',0.306980126
32,06_07_17',-1,LEFT',UW',FEED',0.3564661393
32,06_07_17',1,RITE',UW',NEST',0.247918855
32,06_07_17',1,RITE',UW',NEST',0.795854308
32,06_07_17',1,RITE',UW',NEST',0.8376284287
32,06_07_17',-1,LEFT',DW',NEST',0.5333641339
33,06_07_17',-1,LEFT',UW',FEED',0.340456933
33,06_07_17',1,RITE',UW',NEST',0.3302424609
33,06_07_17',1,RITE',UW',NEST',0.8347417853
33,06_07_17',1,RITE',UW',NEST',0.6172118387
33,06_07_17',1,RITE',UW',NEST',0.4873527692
33,06_07_17',1,RITE',UW',NEST',0.3314388078
34,06_07_17',1,RITE',UW',NEST',0.3049746297
34,06_07_17',1,RITE',DW',FEED',0.3356040873
34,06_07_17',1,RITE',DW',FEED',0.2806097513
34,06_07_17',-1,LEFT',UW',FEED',0.4801015224
34,06_07_17',-1,LEFT',UW',FEED',0.53763947
34,06_07_17',1,RITE',DW',FEED',0.3739276244
34,06_07_17',-1,LEFT',UW',FEED',0.3011481285
34,06_07_17',1,RITE',DW',FEED',0.3558559933
34,06_07_17',-1,LEFT',UW',FEED',0.4971644
35,06_07_17',-1,LEFT',UW',FEED',0.2771654805
35,06_07_17',1,RITE',UW',NEST',0.2071633835
35,06_07_17',1,RITE',UW',NEST',0.3514706355
35,06_07_17',1,RITE',UW',NEST',0.4469091606
35,06_07_17',1,RITE',UW',NEST',0.5155952538
35,06_07_17',-1,LEFT',DW',NEST',0.5313220239
35,06_07_17',-1,LEFT',DW',NEST',0.7294495894
35,06_07_17',-1,LEFT',UW',FEED',0.6647671921
36,06_07_17',-1,LEFT',UW',FEED',0.5279896578
36,06_07_17',1,RITE',UW',NEST',0.5407686321
36,06_07_17',-1,LEFT',DW',NEST',0.3007275097
36,06_07_17',1,RITE',UW',NEST',0.2956954921
36,06_07_17',1,RITE',UW',NEST',0.464056737
36,06_07_17',1,RITE',UW',NEST',0.5970590169
36,06_07_17',1,RITE',DW',FEED',0.2484452137
37,06_07_17',1,RITE',UW',NEST',0.2122467533
37,06_07_17',-1,LEFT',UW',FEED',0.495431506
37,06_07_17',1,RITE',UW',NEST',0.3158987536
37,06_07_17',-1,LEFT',UW',FEED',0.6999840421
37,06_07_17',-1,LEFT',UW',FEED',0.5922729139
37,06_07_17',-1,LEFT',DW',NEST',0.5355097269
38,06_07_17',-1,LEFT',DW',NEST',0.2030089129
38,06_07_17',-1,LEFT',UW',FEED',0.7831634759
38,06_07_17',1,RITE',DW',FEED',0.2366087957
38,06_07_17',-1,LEFT',DW',NEST',1.040307005
38,06_07_17',1,RITE',UW',NEST',0.6533944799
39,06_07_17',-1,LEFT',DW',NEST',0.4838384846
39,06_07_17',-1,LEFT',UW',FEED',0.3449133263
39,06_07_17',-1,LEFT',DW',NEST',1.073599982
39,06_07_17',1,RITE',DW',FEED',0.3583538763
39,06_07_17',-1,LEFT',UW',FEED',0.2265561243
40,06_07_17',1,RITE',UW',NEST',0.2307068346
40,06_07_17',-1,LEFT',UW',FEED',0.2113788128
40,06_07_17',1,RITE',UW',NEST',0.7472048744
41,06_07_17',-1,LEFT',DW',NEST',1.058269403
41,06_07_17',1,RITE',UW',NEST',0.2835905695
41,06_07_17',1,RITE',DW',FEED',0.5238374282
41,06_07_17',1,RITE',UW',NEST',0.2413706801
42,06_07_17',-1,LEFT',DW',NEST',0.6511477054
42,06_07_17',-1,LEFT',UW',FEED',0.6943246569
42,06_07_17',-1,LEFT',UW',FEED',0.593682361
42,06_07_17',-1,LEFT',UW',FEED',0.405654433
42,06_07_17',1,RITE',UW',NEST',0.4169332972
43,06_07_17',-1,LEFT',UW',FEED',0.2553325109
43,06_07_17',-1,LEFT',UW',FEED',0.491752676
43,06_07_17',1,RITE',DW',FEED',0.6493173642
44,06_07_17',1,RITE',UW',NEST',0.2617944353
44,06_07_17',-1,LEFT',UW',FEED',0.5220580301
44,06_07_17',-1,LEFT',DW',NEST',0.2768636815
45,06_07_17',1,RITE',UW',NEST',0.5261503726
45,06_07_17',-1,LEFT',UW',FEED',0.5772624432
45,06_07_17',-1,LEFT',UW',FEED',0.5895509414
46,06_07_17',1,RITE',DW',FEED',0.7102407207
46,06_07_17',1,RITE',DW',FEED',0.4027356725
46,06_07_17',1,RITE',UW',NEST',0.3552106531
46,06_07_17',-1,LEFT',UW',FEED',0.4550895398
46,06_07_17',1,RITE',DW',FEED',0.7408372737
46,06_07_17',1,RITE',UW',NEST',0.4875285844
47,06_07_17',-1,LEFT',UW',FEED',1.049782106
48,06_07_17',1,RITE',UW',NEST',0.3323184748
49,06_07_17',1,RITE',UW',NEST',0.4015246824
49,06_07_17',1,RITE',UW',NEST',0.3333578516
49,06_07_17',-1,LEFT',DW',NEST',0.5913326346
49,06_07_17',-1,LEFT',UW',FEED',0.2623356008
50,06_07_17',-1,LEFT',DW',NEST',0.3980215667
50,06_07_17',-1,LEFT',DW',NEST',0.2611617175
50,06_07_17',-1,LEFT',UW',FEED',0.8618739449
50,06_07_17',-1,LEFT',UW',FEED',0.4300476578
51,06_07_17',-1,LEFT',UW',FEED',0.5683394698
51,06_07_17',-1,LEFT',UW',FEED',0.2108439054
51,06_07_17',-1,LEFT',UW',FEED',0.3283212519
51,06_07_17',1,RITE',UW',NEST',0.5902276244
52,06_07_17',-1,LEFT',UW',FEED',0.8918255373
52,06_07_17',1,RITE',UW',NEST',0.3686376292
52,06_07_17',1,RITE',UW',NEST',0.7242608787
52,06_07_17',-1,LEFT',UW',FEED',0.2033510354
52,06_07_17',-1,LEFT',DW',NEST',0.5699665755
53,06_07_17',-1,LEFT',UW',FEED',1.078683784
53,06_07_17',-1,LEFT',DW',NEST',1.08349409
53,06_07_17',1,RITE',UW',NEST',0.7488580344
53,06_07_17',-1,LEFT',DW',NEST',0.3281052084
54,06_07_17',1,RITE',UW',NEST',0.438900792
54,06_07_17',-1,LEFT',UW',FEED',0.4487640697
54,06_07_17',-1,LEFT',UW',FEED',0.6120536139
55,06_07_17',-1,LEFT',UW',FEED',0.3689002202
55,06_07_17',-1,LEFT',UW',FEED',0.7243262043
55,06_07_17',1,RITE',UW',NEST',0.3577480827
56,06_07_17',1,RITE',UW',NEST',0.6865199921
56,06_07_17',1,RITE',DW',FEED',0.3851435783
56,06_07_17',-1,LEFT',UW',FEED',0.4417934327
57,06_07_17',1,RITE',UW',NEST',0.7327267041
57,06_07_17',1,RITE',UW',NEST',0.5497018012
57,06_07_17',-1,LEFT',UW',FEED',0.691538594
58,06_07_17',1,RITE',DW',FEED',0.3635734486
58,06_07_17',1,RITE',UW',NEST',0.7712645473
58,06_07_17',-1,LEFT',DW',NEST',0.4096847517
59,06_07_17',1,RITE',DW',FEED',0.303658146
59,06_07_17',1,RITE',UW',NEST',0.350975953
59,06_07_17',1,RITE',DW',FEED',0.4855650213
59,06_07_17',-1,LEFT',UW',FEED',0.2901192235
60,06_07_17',-1,LEFT',UW',FEED',0.4594478518
60,06_07_17',1,RITE',DW',FEED',0.3486375123
60,06_07_17',-1,LEFT',UW',FEED',0.6263610436
61,06_07_17',1,RITE',DW',FEED',0.3532708287
61,06_07_17',-1,LEFT',UW',FEED',0.6244319273
61,06_07_17',-1,LEFT',UW',FEED',0.6511767363
61,06_07_17',1,RITE',UW',NEST',0.8247158584
61,06_07_17',-1,LEFT',DW',NEST',0.5824147757
61,06_07_17',1,RITE',UW',NEST',0.4134605397
62,06_07_17',-1,LEFT',DW',NEST',0.4257440075
62,06_07_17',-1,LEFT',DW',NEST',0.7280689099
62,06_07_17',-1,LEFT',UW',FEED',0.2378896329
63,06_07_17',-1,LEFT',DW',NEST',0.2182337364
63,06_07_17',-1,LEFT',DW',NEST',0.4439898464
63,06_07_17',1,RITE',DW',FEED',0.4330717865
64,06_07_17',1,RITE',UW',NEST',0.2503842421
64,06_07_17',1,RITE',DW',FEED',0.6355016502
64,06_07_17',1,RITE',UW',NEST',0.3192382958
64,06_07_17',-1,LEFT',UW',FEED',0.5668184642
64,06_07_17',-1,LEFT',DW',NEST',0.2954594751
65,06_07_17',1,RITE',DW',FEED',1.101375476
65,06_07_17',1,RITE',UW',NEST',0.5116231356
65,06_07_17',-1,LEFT',UW',FEED',0.9947157668
66,06_07_17',-1,LEFT',UW',FEED',0.3481750546
66,06_07_17',1,RITE',UW',NEST',0.6135403537
66,06_07_17',-1,LEFT',DW',NEST',0.704006392
66,06_07_17',1,RITE',DW',FEED',0.6279043482
66,06_07_17',-1,LEFT',UW',FEED',0.749755062
67,06_07_17',1,RITE',DW',FEED',0.3123462789
67,06_07_17',1,RITE',UW',NEST',0.4012915827
67,06_07_17',-1,LEFT',DW',NEST',0.5054186855
67,06_07_17',-1,LEFT',DW',NEST',0.4025757308
67,06_07_17',1,RITE',UW',NEST',0.5500480984
67,06_07_17',1,RITE',UW',NEST',0.4956820676
67,06_07_17',-1,LEFT',DW',NEST',0.2226973053
67,06_07_17',-1,LEFT',DW',NEST',0.3592416688
68,06_07_17',1,RITE',DW',FEED',0.448640842
68,06_07_17',-1,LEFT',UW',FEED',0.5361137229
68,06_07_17',1,RITE',DW',FEED',0.3333786978
68,06_07_17',-1,LEFT',UW',FEED',0.5305327962
68,06_07_17',1,RITE',UW',NEST',0.2957581789
68,06_07_17',1,RITE',DW',FEED',0.2799791729
68,06_07_17',-1,LEFT',UW',FEED',0.4904201519
69,06_07_17',-1,LEFT',DW',NEST',0.5111659678
69,06_07_17',-1,LEFT',UW',FEED',0.643017378
69,06_07_17',1,RITE',UW',NEST',0.3743909564
69,06_07_17',1,RITE',UW',NEST',0.591269389
69,06_07_17',1,RITE',UW',NEST',0.9217974883
69,06_07_17',1,RITE',UW',NEST',0.544803249
70,06_07_17',-1,LEFT',UW',FEED',0.9538256166
70,06_07_17',-1,LEFT',UW',FEED',0.8308567549
70,06_07_17',1,RITE',UW',NEST',0.3125159809
70,06_07_17',-1,LEFT',UW',FEED',0.3885603429
71,06_07_17',-1,LEFT',UW',FEED',0.5197869914
71,06_07_17',-1,LEFT',DW',NEST',0.3573579636
71,06_07_17',-1,LEFT',DW',NEST',0.7974453023
72,06_07_17',-1,LEFT',DW',NEST',0.4215254441
72,06_07_17',1,RITE',DW',FEED',0.5272984479
72,06_07_17',1,RITE',UW',NEST',0.5971637736
72,06_07_17',1,RITE',UW',NEST',0.6080995126
72,06_07_17',1,RITE',UW',NEST',0.3657890298
72,06_07_17',1,RITE',UW',NEST',0.3766716048
73,06_07_17',1,RITE',UW',NEST',0.3805944686
